Player,Year,Age,Pos,Tm,G,MP,perf,PTS
Marquis Daniels,2010,29,SG-SF,BOS,51,937,0,288
Marreese Speights,2010,22,PF-C,PHI,62,1016,1,532
Martell Webster,2010,23,SG-SF,POR,82,2005,0,768
Marvin Williams,2010,23,SG-SF,ATL,81,2468,0,820
Matt Barnes,2010,29,SG-SF,ORL,81,2097,0,716
Matt Bonner,2010,29,PF-C,SAS,65,1161,0,457
Maurice Evans,2010,31,SG-SF,ATL,79,1317,0,453
Mehmet Okur,2010,30,PF-C,UTA,73,2149,1,988
Metta World,2010,30,SG-SF,LAL,77,2605,0,845
Michael Beasley,2010,21,PF-C,MIA,78,2328,1,1156
Michael Finley,2010,36,SG-SF,TOT,46,709,0,202
Michael Redd,2010,30,SG-SF,MIL,18,492,0,215
Mickael Pietrus,2010,27,SG-SF,ORL,75,1687,0,651
Mike Bibby,2010,31,PG,ATL,80,2195,0,730
Mike Conley,2010,22,PG,MEM,80,2569,0,959
Mike Dunleavy,2010,29,SG-SF,IND,67,1486,0,666
Mike Miller,2010,29,SG-SF,WAS,54,1805,0,586
Mikki Moore,2010,34,PF-C,GSW,23,406,0,115
Mo Williams,2010,27,PG,CLE,69,2359,1,1092
Monta Ellis,2010,24,SG-SF,GSW,64,2647,1,1631
Morris Peterson,2010,32,SG-SF,NOH,46,973,0,327
Nate Robinson,2010,25,PG,TOT,56,1115,1,567
Nathan Jawai,2010,23,PF-C,MIN,39,412,0,124
Nazr Mohammed,2010,32,PF-C,CHA,58,984,1,459
Nenad Krstic,2010,26,PF-C,OKC,76,1741,0,639
Nene Hilario,2010,27,PF-C,DEN,82,2755,1,1135
Nick Collison,2010,29,PF-C,OKC,75,1557,0,439
Nick Young,2010,24,SG-SF,WAS,74,1421,0,639
Nicolas Batum,2010,21,SG-SF,POR,37,918,1,375
O.J. Mayo,2010,22,SG-SF,MEM,82,3113,0,1432
Oleksiy Pecherov,2010,24,PF-C,MIN,44,447,0,197
Omri Casspi,2010,21,SG-SF,SAC,77,1931,0,792
Pau Gasol,2010,29,PF-C,LAL,65,2403,1,1190
Paul Millsap,2010,24,PF-C,UTA,82,2277,1,954
Paul Pierce,2010,32,SG-SF,BOS,71,2411,1,1296
Peja Stojakovic,2010,32,SG-SF,NOH,62,1947,0,784
Quentin Richardson,2010,29,SG-SF,MIA,76,2082,0,678
Quinton Ross,2010,28,SG-SF,TOT,52,562,0,92
Rafer Alston,2010,33,PG,TOT,52,1421,0,427
Raja Bell,2010,33,SG-SF,TOT,6,180,0,71
Rajon Rondo,2010,23,PG,BOS,81,2963,1,1110
Ramon Sessions,2010,23,PG,MIN,82,1732,0,674
